{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.4817549}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.14458753}  {Name:n02111277 Newfoundland, Newfoundland dog, Probability:0.09241017}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9731611}  {Name:n02105056 groenendael, Probability:0.014784734}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0043857032}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9711613}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.026661042}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.001788872}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.99019545}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0052196602}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0041944026}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.81982577}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.056664295}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.036948938}
{Name:n02120505 grey fox, gray fox, Urocyon cinereoargenteus, Probability:0.32480225}  {Name:n02119789 kit fox, Vulpes macrotis, Probability:0.06771794}  {Name:n02415577 bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis, Probability:0.06095263}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8530391}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0631373}  {Name:n02363005 beaver, Probability:0.021994723}
{Name:n02442845 mink, Probability:0.5027174}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.08039079}  {Name:n02363005 beaver, Probability:0.027656628}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.91158634}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.079096094}  {Name:n02106382 Bouvier des Flandres, Bouviers des Flandres, Probability:0.0037909716}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8799239}  {Name:n02483708 siamang, Hylobates syndactylus, Symphalangus syndactylus, Probability:0.038169693}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.03411578}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9955081}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.003160975}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0013219826}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.96057916}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.036712132}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0026693023}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9827168}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.016987484}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.00027655915}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.821065}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.16470264}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.007317698}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02361337 marmot, Probability:0.33737588}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.19618994}  {Name:n02442845 mink, Probability:0.08211896}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.98352975}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.016076175}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0002744007}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8504545}  {Name:n02410509 bison, Probability:0.046772633}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.020536209}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9987206}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0007159994}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.00036359628}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9827011}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.012015883}  {Name:n02105056 groenendael, Probability:0.0015519197}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9945364}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0031080476}  {Name:n02105056 groenendael, Probability:0.0014839456}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.38287652}  {Name:n02492660 howler monkey, howler, Probability:0.30542672}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.13570067}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9949175}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0033947087}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.00040511662}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9083338}  {Name:n01871265 tusker, Probability:0.02699048}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.012822087}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.6712092}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.04823796}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.04514236}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.99160916}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0058292914}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0018414154}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9934181}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0045786677}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0019432206}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9824095}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.0067306184}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.005435453}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9159752}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.07674876}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0030782467}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.99382496}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0061366963}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:3.745364e-05}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9458536}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.05070832}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0018058731}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9885566}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0049781753}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.0028902532}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.99545896}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.003404232}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0005277762}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9483201}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.02101738}  {Name:n01883070 wombat, Probability:0.015001618}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9126079}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.087199286}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.00019258649}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.892484}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.1017601}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.003663578}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.92057407}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.067894444}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0025742082}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.998691}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0004549854}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.0004040477}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.80275863}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.18439709}  {Name:n02114367 timber wolf, grey wolf, gray wolf, Canis lupus, Probability:0.004064006}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9992772}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0006130229}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.00010603399}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.961017}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.020864645}  {Name:n02105056 groenendael, Probability:0.012443115}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9493465}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.016033482}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.011614897}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.98065394}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.017514871}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0017352658}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9401359}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.05123922}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.004811769}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9979315}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.001664871}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.00038971048}
{Name:n04275548 spider web, spider's web, Probability:0.57799745}  {Name:n02492660 howler monkey, howler, Probability:0.114127696}  {Name:n02493793 spider monkey, Ateles geoffroyi, Probability:0.0795471}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9989568}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0010376106}  {Name:n01883070 wombat, Probability:3.3947344e-06}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9934168}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0027391745}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.0010864949}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9459791}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.050763484}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0027541034}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9677468}  {Name:n02410509 bison, Probability:0.00632593}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0061191097}
{Name:n02172182 dung beetle, Probability:0.20402351}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.10659948}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.1005118}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9783956}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.015758857}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.0007776439}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9946241}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.004282049}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0010547873}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9610895}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.028430333}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.0063157766}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.95583177}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.03600964}  {Name:n02480855 gorilla, Gorilla gorilla, Probability:0.003467357}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.892729}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.10679671}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.00045974104}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8388563}  {Name:n02111277 Newfoundland, Newfoundland dog, Probability:0.09524401}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.02165729}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.945225}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.050610438}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0012338648}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.99795294}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0012949723}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0006568173}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9989059}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0006121048}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.00048200137}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.96604973}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.032943048}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0009643546}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9882323}  {Name:n02105056 groenendael, Probability:0.004849102}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0031305167}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9947247}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0051186606}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.00015570136}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.99882156}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0007839873}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0003707301}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.60751957}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.09007352}  {Name:n02444819 otter, Probability:0.07584162}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.15334134}  {Name:n02111277 Newfoundland, Newfoundland dog, Probability:0.09124168}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.0724604}
{Name:n02504458 African elephant, Loxodonta africana, Probability:0.31757423}  {Name:n01871265 tusker, Probability:0.2445475}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.09925075}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.972607}  {Name:n02105056 groenendael, Probability:0.022092976}  {Name:n02104365 schipperke, Probability:0.002156363}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9815041}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.011751648}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.006147586}
{Name:n02483708 siamang, Hylobates syndactylus, Symphalangus syndactylus, Probability:0.60058695}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.11474061}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.08088554}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.95802647}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.011783016}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.010643088}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.94519025}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.027664462}  {Name:n02410509 bison, Probability:0.0076064067}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9462139}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.03938529}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.002359593}
{Name:n04465501 tractor, Probability:0.11202916}  {Name:n02747177 ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin, Probability:0.05518937}  {Name:n04049303 rain barrel, Probability:0.050066262}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.33506423}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.16193564}  {Name:n02480855 gorilla, Gorilla gorilla, Probability:0.15433921}
{Name:n02114367 timber wolf, grey wolf, gray wolf, Canis lupus, Probability:0.22346762}  {Name:n02116738 African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus, Probability:0.14835852}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.069469556}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.70183736}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.032561254}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.029280422}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.5546725}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.09067516}  {Name:n02480855 gorilla, Gorilla gorilla, Probability:0.06157276}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.82775724}  {Name:n02105056 groenendael, Probability:0.0530377}  {Name:n02104365 schipperke, Probability:0.035775054}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.36136237}  {Name:n01883070 wombat, Probability:0.10413987}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.068044476}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.92977}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.06543948}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0009808623}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.99277335}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.006836844}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.00033566513}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9830877}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.006453453}  {Name:n02105056 groenendael, Probability:0.0027645873}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.99298275}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0050531924}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0019514557}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.62054855}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.18561642}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.047702663}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.99167985}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.003556149}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0020633277}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.7233039}  {Name:n02105056 groenendael, Probability:0.11605599}  {Name:n02104365 schipperke, Probability:0.04536612}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.96152216}  {Name:n01883070 wombat, Probability:0.013879445}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.008822371}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.97290885}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.027043758}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:4.725048e-05}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9697066}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0127894}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.0109030055}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.4964993}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.40011355}  {Name:n02483708 siamang, Hylobates syndactylus, Symphalangus syndactylus, Probability:0.024687745}
{Name:n02326432 hare, Probability:0.14311196}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.121152006}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.050865933}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9968202}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0007475395}  {Name:n02480855 gorilla, Gorilla gorilla, Probability:0.00073644356}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.34342527}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.3068666}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.22710371}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8325671}  {Name:n01871265 tusker, Probability:0.048038024}  {Name:n02504458 African elephant, Loxodonta africana, Probability:0.04103901}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.93534946}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.030153565}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.012859141}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.93329203}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.051517323}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0069000637}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.91636723}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.08248611}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0010636479}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.7339073}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.08317016}  {Name:n02492660 howler monkey, howler, Probability:0.04731397}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9800323}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.019961506}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:5.465404e-06}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.3648047}  {Name:n02111277 Newfoundland, Newfoundland dog, Probability:0.18135823}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.17298691}
{Name:n02088466 bloodhound, sleuthhound, Probability:0.45913115}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.07405331}  {Name:n02111277 Newfoundland, Newfoundland dog, Probability:0.04768314}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9505115}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.033062432}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.011224794}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9429583}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.056712706}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.00032849822}
