{Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.35942364}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.21924742}  {Name:n02104029 kuvasz, Probability:0.2172781}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9616309}  {Name:n02483708 siamang, Hylobates syndactylus, Symphalangus syndactylus, Probability:0.007237591}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.0072101788}
{Name:n02492660 howler monkey, howler, Probability:0.7164829}  {Name:n02493793 spider monkey, Ateles geoffroyi, Probability:0.1438507}  {Name:n01843383 toucan, Probability:0.039653897}
{Name:n02704792 amphibian, amphibious vehicle, Probability:0.7231323}  {Name:n04389033 tank, army tank, armored combat vehicle, armoured combat vehicle, Probability:0.12920712}  {Name:n04347754 submarine, pigboat, sub, U-boat, Probability:0.031677093}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9050871}  {Name:n02410509 bison, Probability:0.06847346}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.021395018}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.95179963}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.031308975}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.012647135}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.90175086}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.03271432}  {Name:n02480855 gorilla, Gorilla gorilla, Probability:0.020194225}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.36954334}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.32585472}  {Name:n02442845 mink, Probability:0.068726264}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.99764085}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0009166525}  {Name:n02104365 schipperke, Probability:0.0007073202}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9464577}  {Name:n02492660 howler monkey, howler, Probability:0.017543398}  {Name:n02483708 siamang, Hylobates syndactylus, Symphalangus syndactylus, Probability:0.01734121}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.95103276}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.044848498}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0028110943}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.2687369}  {Name:n01873310 platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus, Probability:0.25091088}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.12765689}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.58875}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.065302216}  {Name:n01518878 ostrich, Struthio camelus, Probability:0.044391725}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.93334955}  {Name:n01883070 wombat, Probability:0.03483349}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.017370427}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.58970124}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.06855508}  {Name:n02105056 groenendael, Probability:0.04031087}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8671241}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.039579634}  {Name:n01871265 tusker, Probability:0.02565871}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9340919}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.016822925}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0063293213}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9791301}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.009704891}  {Name:n02410509 bison, Probability:0.0034970173}
{Name:n03042490 cliff dwelling, Probability:0.2652073}  {Name:n02410509 bison, Probability:0.10694608}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.08595343}
{Name:n02410509 bison, Probability:0.4144045}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.33902216}  {Name:n02412080 ram, tup, Probability:0.05620515}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9562785}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.027000342}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.00590549}
{Name:n03000134 chainlink fence, Probability:0.2575444}  {Name:n03874599 padlock, Probability:0.20760573}  {Name:n03000684 chain saw, chainsaw, Probability:0.051504064}
{Name:n01883070 wombat, Probability:0.4983141}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.49440223}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0039924365}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.93211055}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.066199705}  {Name:n02105056 groenendael, Probability:0.0003043344}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.867069}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.06265018}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.034457516}
{Name:n02111277 Newfoundland, Newfoundland dog, Probability:0.2742199}  {Name:n02108551 Tibetan mastiff, Probability:0.24657759}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.159031}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.8554709}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.14274935}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.00093772257}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.5429697}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.06466198}  {Name:n01871265 tusker, Probability:0.05362037}
{Name:n02492660 howler monkey, howler, Probability:0.19210002}  {Name:n02843684 birdhouse, Probability:0.14240254}  {Name:n02480495 orangutan, orang, orangutang, Pongo pygmaeus, Probability:0.07353409}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.67914885}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.31001142}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0059735524}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.50396246}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.4160088}  {Name:n02111277 Newfoundland, Newfoundland dog, Probability:0.02277036}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8507922}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.108079575}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0058167744}
{Name:n02492660 howler monkey, howler, Probability:0.6117427}  {Name:n01614925 bald eagle, American eagle, Haliaeetus leucocephalus, Probability:0.07652645}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.054876935}
{Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.5408326}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.18092865}  {Name:n02397096 warthog, Probability:0.04363147}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.79588115}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.10095361}  {Name:n02483708 siamang, Hylobates syndactylus, Symphalangus syndactylus, Probability:0.06407963}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9630567}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.013511592}  {Name:n01883070 wombat, Probability:0.003978732}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.3318404}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.24904282}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.20460205}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8346992}  {Name:n01883070 wombat, Probability:0.07690801}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.02817752}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.66305083}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.09425222}  {Name:n02363005 beaver, Probability:0.055557713}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.67587173}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.11276028}  {Name:n02108551 Tibetan mastiff, Probability:0.031224405}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.94238645}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.034041826}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.013895131}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.88876045}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.10998673}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0011851065}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.97443646}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.017243965}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0018607626}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.96221733}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.014890199}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.011603722}
{Name:n03976657 pole, Probability:0.34621266}  {Name:n04371774 swing, Probability:0.23234533}  {Name:n03535780 horizontal bar, high bar, Probability:0.05000776}
{Name:n02797295 barrow, garden cart, lawn cart, wheelbarrow, Probability:0.117475025}  {Name:n02965783 car mirror, Probability:0.061647203}  {Name:n07714990 broccoli, Probability:0.047365826}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.892461}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.10532758}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.00048783506}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.6047358}  {Name:n02410509 bison, Probability:0.2610309}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.07197304}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.47505966}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.32693616}  {Name:n02105056 groenendael, Probability:0.07193954}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.4981779}  {Name:n02410509 bison, Probability:0.09475313}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.06516599}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9983267}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0016084908}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:2.6704263e-05}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.40180093}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.15009235}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.07539413}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.20408903}  {Name:n02408429 water buffalo, water ox, Asiatic buffalo, Bubalus bubalis, Probability:0.1146853}  {Name:n02108551 Tibetan mastiff, Probability:0.11393787}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.78064775}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.04270531}  {Name:n02097298 Scotch terrier, Scottish terrier, Scottie, Probability:0.014684046}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.90576065}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.04311563}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.021214558}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.50080407}  {Name:n02408429 water buffalo, water ox, Asiatic buffalo, Bubalus bubalis, Probability:0.16598575}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.086064}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.82598865}  {Name:n02403003 ox, Probability:0.048772037}  {Name:n02106382 Bouvier des Flandres, Bouviers des Flandres, Probability:0.027318275}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.99777395}  {Name:n02104365 schipperke, Probability:0.0014106667}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0003852093}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9846178}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.010682269}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.004515985}
{Name:n01883070 wombat, Probability:0.82231605}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.14878814}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.0080130985}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8813987}  {Name:n02442845 mink, Probability:0.052988876}  {Name:n02104365 schipperke, Probability:0.032848526}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.79990935}  {Name:n02408429 water buffalo, water ox, Asiatic buffalo, Bubalus bubalis, Probability:0.051800497}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.03898709}
{Name:n09421951 sandbar, sand bar, Probability:0.13397081}  {Name:n01697457 African crocodile, Nile crocodile, Crocodylus niloticus, Probability:0.12261361}  {Name:n02009912 American egret, great white heron, Egretta albus, Probability:0.11991053}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n02442845 mink, Probability:0.45864725}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.38084525}  {Name:n01883070 wombat, Probability:0.07521261}
{Name:n02105056 groenendael, Probability:0.29565072}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.17594276}  {Name:n02111277 Newfoundland, Newfoundland dog, Probability:0.15907143}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.98920876}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0055111917}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0043204157}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.89250994}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.026838839}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.016145369}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.6093453}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.37490872}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.008166182}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.20105325}  {Name:n02116738 African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus, Probability:0.0981668}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.09599194}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.98358756}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0152678}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.000594094}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.98258495}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.005254991}  {Name:n02410509 bison, Probability:0.0045184703}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.6244165}  {Name:n02442845 mink, Probability:0.08696204}  {Name:n02444819 otter, Probability:0.0533987}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.7983032}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.09779293}  {Name:n02480855 gorilla, Gorilla gorilla, Probability:0.018675309}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9340827}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.045261458}  {Name:n02410509 bison, Probability:0.012229005}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n02104365 schipperke, Probability:0.34965035}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.12216333}  {Name:n02107574 Greater Swiss Mountain dog, Probability:0.08830324}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.97778213}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.021560652}  {Name:n02104365 schipperke, Probability:0.00031186125}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.6435461}  {Name:n02410509 bison, Probability:0.16259265}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.02512976}
{Name:n02408429 water buffalo, water ox, Asiatic buffalo, Bubalus bubalis, Probability:0.2578924}  {Name:n01697457 African crocodile, Nile crocodile, Crocodylus niloticus, Probability:0.19134127}  {Name:n02363005 beaver, Probability:0.1282027}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.71513873}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.07227613}  {Name:n02125311 cougar, puma, catamount, mountain lion, painter, panther, Felis concolor, Probability:0.039902985}
{Name:n03786901 mortar, Probability:0.804422}  {Name:n03743016 megalith, megalithic structure, Probability:0.05347189}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.037108365}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.96258956}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.020148428}  {Name:n01883070 wombat, Probability:0.0020790496}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.65680814}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.10774313}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.06520359}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9040163}  {Name:n02105056 groenendael, Probability:0.022237578}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.011326562}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.7877556}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.10983054}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.043665163}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8124422}  {Name:n02480855 gorilla, Gorilla gorilla, Probability:0.06676677}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.03881689}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.85873556}  {Name:n02101006 Gordon setter, Probability:0.02793246}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.024711482}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.48941645}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.13600911}  {Name:n01883070 wombat, Probability:0.11967124}
{Name:n02410509 bison, Probability:0.6824387}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.14752664}  {Name:n02408429 water buffalo, water ox, Asiatic buffalo, Bubalus bubalis, Probability:0.093681745}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9268196}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.067523345}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0016248693}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.87545335}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.086973846}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.011293631}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.96498877}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.017796401}  {Name:n02410509 bison, Probability:0.007625533}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.5685147}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.42308986}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.002945359}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8127033}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.074991465}  {Name:n01883070 wombat, Probability:0.04084676}
{Name:n02480855 gorilla, Gorilla gorilla, Probability:0.3077268}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.27644894}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.09823896}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.8613062}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.096025415}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.01350239}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.25299862}  {Name:n02492035 capuchin, ringtail, Cebus capucinus, Probability:0.16133244}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.102137074}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.95188344}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.024896132}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.021585584}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.93957216}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.03051518}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.017796377}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.93871546}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.037353393}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.008735298}
{Name:n02492660 howler monkey, howler, Probability:0.4450671}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.34534037}  {Name:n02500267 indri, indris, Indri indri, Indri brevicaudatus, Probability:0.03311512}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8533617}  {Name:n01871265 tusker, Probability:0.02507983}  {Name:n02398521 hippopotamus, hippo, river horse, Hippopotamus amphibius, Probability:0.021787923}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.83293116}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.09114411}  {Name:n02097130 giant schnauzer, Probability:0.00842518}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.95873684}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.018404173}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.00486743}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8069469}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.14941515}  {Name:n02104365 schipperke, Probability:0.007223071}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9539256}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.018925158}  {Name:n02410509 bison, Probability:0.01626979}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.86589813}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.04268185}  {Name:n02483708 siamang, Hylobates syndactylus, Symphalangus syndactylus, Probability:0.02638724}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8664842}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.028811004}  {Name:n02410509 bison, Probability:0.019538611}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9925196}  {Name:n02105056 groenendael, Probability:0.0028870937}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.002178653}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n02110063 malamute, malemute, Alaskan malamute, Probability:0.08346621}  {Name:n04252077 snowmobile, Probability:0.074314654}  {Name:n02108000 EntleBucher, Probability:0.058647066}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.5053791}  {Name:n02105056 groenendael, Probability:0.13933758}  {Name:n02104365 schipperke, Probability:0.13809775}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.96134853}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.012832283}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.004945498}
