{Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.2975172}  {Name:n02115641 dingo, warrigal, warragal, Canis dingo, Probability:0.17326921}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.13703984}
{Name:n02361337 marmot, Probability:0.05583291}  {Name:n09246464 cliff, drop, drop-off, Probability:0.034451563}  {Name:n04326547 stone wall, Probability:0.03277968}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.93112725}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0026260917}  {Name:n02107142 Doberman, Doberman pinscher, Probability:0.0022414166}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.90631944}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.009036461}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0041012485}
{Name:n02106382 Bouvier des Flandres, Bouviers des Flandres, Probability:0.52261513}  {Name:n02097130 giant schnauzer, Probability:0.16082649}  {Name:n02093859 Kerry blue terrier, Probability:0.11667216}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.91811323}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0022263147}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0016282747}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9510573}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0017253305}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.001619809}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9018494}  {Name:n01883070 wombat, Probability:0.0047290944}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.00402956}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.91742873}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.009311347}  {Name:n02105056 groenendael, Probability:0.0081864325}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8633246}  {Name:n02105056 groenendael, Probability:0.023566173}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0023042336}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.63123417}  {Name:n02410509 bison, Probability:0.1264319}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.113949805}
{Name:n03594734 jean, blue jean, denim, Probability:0.09410207}  {Name:n09332890 lakeside, lakeshore, Probability:0.031789694}  {Name:n02108000 EntleBucher, Probability:0.031444088}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.5093348}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.110630386}  {Name:n02480855 gorilla, Gorilla gorilla, Probability:0.093118064}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9334286}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.018560026}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0012549709}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.46409693}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.32955396}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.007471456}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8609805}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.03147863}  {Name:n02104365 schipperke, Probability:0.011761801}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9142595}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0103419265}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.006352067}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.7736201}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.011679009}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.011068209}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8656449}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.011641399}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.00491941}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.52763194}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.25791758}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.012546743}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.54787713}  {Name:n02105056 groenendael, Probability:0.25162852}  {Name:n02104365 schipperke, Probability:0.057567425}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.2790407}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.14572507}  {Name:n02403003 ox, Probability:0.098049134}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9218792}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.014351824}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0061478973}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.92446476}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.04065217}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.003547898}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.7280151}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.08517364}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.036727272}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8171373}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.016747447}  {Name:n01883070 wombat, Probability:0.006151143}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.86160713}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.02088604}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.017965322}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9289999}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.004076345}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0030769338}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9019306}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.017579598}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0051707313}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.4705918}  {Name:n02486410 baboon, Probability:0.055972375}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.029064503}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.95258975}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0063180737}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.005521016}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8829966}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.011686402}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0027189117}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.91313094}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.011196922}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0071276743}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9187262}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.017063309}  {Name:n02483708 siamang, Hylobates syndactylus, Symphalangus syndactylus, Probability:0.003328894}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.95498574}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0024054572}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0021221407}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9475361}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.002985828}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0007766168}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9684852}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0038025219}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0022744865}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.6783319}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.19923131}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.020044627}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.90755165}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.014666794}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0060506435}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9172284}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0033467554}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0024990898}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9430728}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.006251243}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.001530531}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.98037416}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0051923255}  {Name:n02104365 schipperke, Probability:0.0026217613}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8613667}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.024672166}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0182931}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.83999413}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.027862264}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.022187838}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9269072}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.033453733}  {Name:n02106382 Bouvier des Flandres, Bouviers des Flandres, Probability:0.0028970048}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.94467074}  {Name:n02106382 Bouvier des Flandres, Bouviers des Flandres, Probability:0.009254066}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0065186345}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.92923874}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0058179}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0041081537}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9269639}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.007308069}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0033942629}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.918231}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.005167555}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0049477974}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.5054389}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.26671654}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.034460954}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9358647}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0028376076}  {Name:n01883070 wombat, Probability:0.002507009}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.96083504}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0038528906}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.0012425965}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9360348}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0017239603}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.000740063}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.7993185}  {Name:n02105056 groenendael, Probability:0.042656016}  {Name:n02113799 standard poodle, Probability:0.0152451815}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9571904}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0047894306}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0016526531}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9513355}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0019110761}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0014145275}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8602225}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.025476418}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.006004937}
{Name:n01518878 ostrich, Struthio camelus, Probability:0.18020272}  {Name:n01514859 hen, Probability:0.15087153}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.09598593}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9803185}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0019571024}  {Name:n02105056 groenendael, Probability:0.0011934132}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9755529}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.002932077}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0024268301}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.80272925}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.123826176}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.021136435}
{Name:n03743016 megalith, megalithic structure, Probability:0.3673923}  {Name:n02480855 gorilla, Gorilla gorilla, Probability:0.058335684}  {Name:n09246464 cliff, drop, drop-off, Probability:0.048883766}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8397704}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.09067713}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.009415882}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.75982755}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.07628382}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.031716608}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.842157}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.012541623}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.009213629}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9071269}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.003666428}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0027440968}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.92195565}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.007607839}  {Name:n02105056 groenendael, Probability:0.003498708}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9938606}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0017377237}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0007080985}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8675019}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.015083126}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.013319281}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9727932}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0011409643}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.00062327815}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.5123687}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.16517363}  {Name:n01883070 wombat, Probability:0.15941304}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.81647754}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.020379532}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.0112801725}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.59619397}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.07219636}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.057142906}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.86849487}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.007936774}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.004648026}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.971404}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0010681078}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0006675871}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9085094}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0058526234}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0057820943}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.902235}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.016215669}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.009914017}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.917802}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.014235923}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0026750728}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8976438}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.024027681}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.023783593}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.90397626}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.005716349}  {Name:n01883070 wombat, Probability:0.0036015038}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.85740244}  {Name:n04127249 safety pin, Probability:0.016317356}  {Name:n02817516 bearskin, busby, shako, Probability:0.009127423}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.97827315}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0015078569}  {Name:n02483708 siamang, Hylobates syndactylus, Symphalangus syndactylus, Probability:0.00086067425}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.7493502}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.033680875}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.018815821}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9638644}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0036797205}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.0017442437}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9111825}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.01988865}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.002352403}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9252663}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.01189693}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0018690331}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.5444359}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.06599141}  {Name:n02483708 siamang, Hylobates syndactylus, Symphalangus syndactylus, Probability:0.061331604}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9185846}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0063929027}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0026725603}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.67827445}  {Name:n01883070 wombat, Probability:0.057858083}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.019923516}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.90932965}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.020277468}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0011255605}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.97740334}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0017696504}  {Name:n01883070 wombat, Probability:0.0017146143}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8754793}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.016009176}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.012109355}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.7372687}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.047908098}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0058556627}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.88530236}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.028903874}  {Name:n02104365 schipperke, Probability:0.013287491}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9786437}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0006752273}  {Name:n02105056 groenendael, Probability:0.00037881228}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9615613}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.002480934}  {Name:n01883070 wombat, Probability:0.00045597754}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.87606776}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.01887106}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0049354793}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.92691916}  {Name:n01883070 wombat, Probability:0.008766767}  {Name:n02104365 schipperke, Probability:0.0030662867}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8935364}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.017235482}  {Name:n01883070 wombat, Probability:0.004990335}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.32748127}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.2852167}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.26720977}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.64207333}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.21165831}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.0074480316}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.84892505}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.034845777}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.013123897}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9793376}  {Name:n02442845 mink, Probability:0.0014489074}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0009760234}
{Name:n03594734 jean, blue jean, denim, Probability:0.5325137}  {Name:n02101006 Gordon setter, Probability:0.042765196}  {Name:n02107683 Bernese mountain dog, Probability:0.021499356}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.72971576}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.08225877}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.05189661}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.23188677}  {Name:n02410509 bison, Probability:0.12375948}  {Name:n02101006 Gordon setter, Probability:0.071353234}
